"id","uf","municipio","zona","lat","long","codTSE"
"53139-261","MG","Senador Firmino","261","-20.9180595996852","-43.1041303932776","53139"
"37893-195","BA","Pilão Arcado","195","-9.997771055676891","-42.4847567624654","37893"
"10405-052","PI","Passagem Franca do Piauí","52","-5.85624732012702","-42.44052674629","10405"
"87149-153","RS","Morro Reuter","153","-29.5393416577783","-51.08008834780719","87149"
"53953-265","MG","Turvolândia","265","-21.8793890050108","-45.796735792709","53953"
"98353-056","AM","Iranduba","56","-3.28105387749892","-60.1933881661307","98353"
"37559-146","BA","Nova Canaã","146","-14.7935980872055","-40.145174652014","37559"
"83038-036","SC","Salto Veloso","36","-26.9031646069298","-51.4052080779569","83038"
"17230-012","RN","Lagoa d'Anta","12","-6.391502323289799","-35.5997951777328","17230"
"93335-052","GO","Cumari","52","-18.2613822976479","-48.1566767810345","93335"
"36250-027","BA","Itapé","27","-14.8948079603667","-39.429962728368","36250"
"28193-019","AL","Olivença","19","-9.51945648304687","-37.1908187180627","28193"
"15156-050","CE","Pentecoste","50","-3.7962667360296","-39.267008731469","15156"
"49514-207","MG","Passa Quatro","207","-22.3897981309537","-44.9696386730973","49514"
"23019-066","PE","Afogados da Ingazeira","66","-7.748327585579109","-37.6376860181022","23019"
"63134-388","SP","Carapicuíba","388","-23.560221","-46.826018","63134"
"74560-121","PR","Mercedes","121","-24.4488897638897","-54.1644357171677","74560"
"73504-014","TO","Talismã","14","-12.7875384064525","-49.0911184339334","73504"
"26077-112","PE","Toritama","112","-8.00665027067854","-36.0568434929956","26077"
"89788-011","MT","Colniza","11","-9.45790384640582","-59.2189486740791","89788"
"66893-364","SP","Mauá","364","-23.669778","-46.4636739","66893"
"40460-237","MG","Montezuma","237","-15.1711441579999","-42.50747369917","40460"
"82597-055","SC","Pomerode","55","-26.744826395743","-49.1741975274002","82597"
"07285-066","MA","Bom Lugar","66","-4.37550960132049","-45.03110785632379","07285"
"61514-232","SP","Aparecida d'Oeste","232","-20.4508453719309","-50.8856157061664","61514"
"63614-286","SP","Cotia","286","-23.6052508","-46.9394141","63614"
"34479-100","BA","Catolândia","100","-12.316005938101","-44.8597702833594","34479"
"75493-110","PR","Faxinal","110","-24.0039270715253","-51.3201059317839","75493"
"56332-040","ES","Conceição do Castelo","40","-20.3655811131937","-41.2453480411941","56332"
"25518-081","PE","Santa Maria da Boa Vista","81","-8.804126499714229","-39.8242357254967","25518"
"13498-070","CE","Brejo Santo","70","-7.491638008417139","-38.9855138673635","13498"
